s.no,state,accounts,deposit_crore,deposit_per_account_rs,national_avg_rs,gap_vs_national_avg_rs,gap_crore,below_national_avg,pct_of_national_avg,account_share_pct
1,Andaman and Nicobar Islands,46840,31.09,6637.0,3702.0,-2935.0,-13.75,False,179.3,0.01
2,Andhra Pradesh,11793089,4005.69,3397.0,3702.0,305.0,359.69,True,91.8,2.57
3,Arunachal Pradesh,383425,224.33,5851.0,3702.0,-2149.0,-82.4,False,158.1,0.08
4,Assam,20745021,5405.1,2605.0,3702.0,1097.0,2275.73,True,70.4,4.52
5,Bihar,51872913,18048.59,3479.0,3702.0,223.0,1156.77,True,94.0,11.3
6,Chandigarh,315604,149.38,4733.0,3702.0,-1031.0,-32.54,False,127.9,0.07
7,Chhattisgarh,16140135,5042.45,3124.0,3702.0,578.0,932.9,True,84.4,3.52
8,Dadra and Nagar Haveli and Daman and Diu,215326,115.25,5352.0,3702.0,-1650.0,-35.53,False,144.6,0.05
9,Delhi,5526106,2314.92,4189.0,3702.0,-487.0,-269.12,False,113.2,1.2
10,Goa,175532,133.66,7615.0,3702.0,-3913.0,-68.69,False,205.7,0.04
11,Gujarat,17025677,7534.47,4425.0,3702.0,-723.0,-1230.96,False,119.5,3.71
12,Haryana,8682947,4811.29,5541.0,3702.0,-1839.0,-1596.79,False,149.7,1.89
13,Himachal Pradesh,1639411,1106.0,6746.0,3702.0,-3044.0,-499.04,False,182.2,0.36
14,Jammu and Kashmir,2584501,1581.62,6120.0,3702.0,-2418.0,-624.93,False,165.3,0.56
15,Jharkhand,16433530,5959.27,3626.0,3702.0,76.0,124.89,True,98.0,3.58
16,Karnataka,16409698,6391.73,3895.0,3702.0,-193.0,-316.71,False,105.2,3.58
17,Kerala,5086574,2191.01,4307.0,3702.0,-605.0,-307.74,False,116.4,1.11
18,Ladakh,21027,25.06,11918.0,3702.0,-8216.0,-17.28,False,322.0,0.0
19,Lakshadweep,9911,16.13,16275.0,3702.0,-12573.0,-12.46,False,439.7,0.0
20,Madhya Pradesh,37755462,9737.28,2579.0,3702.0,1123.0,4239.94,True,69.7,8.23
21,Maharashtra,31638762,10938.9,3457.0,3702.0,245.0,775.15,True,93.4,6.89
22,Manipur,1033849,227.91,2204.0,3702.0,1498.0,154.87,True,59.5,0.23
23,Meghalaya,630315,339.94,5393.0,3702.0,-1691.0,-106.59,False,145.7,0.14
24,Mizoram,314921,144.34,4583.0,3702.0,-881.0,-27.74,False,123.8,0.07
25,Nagaland,349118,97.87,2803.0,3702.0,899.0,31.39,True,75.7,0.08
26,Odisha,18977972,7422.18,3911.0,3702.0,-209.0,-396.64,False,105.7,4.14
27,Puducherry,170265,70.37,4133.0,3702.0,-431.0,-7.34,False,111.7,0.04
28,Punjab,7908413,3496.38,4421.0,3702.0,-719.0,-568.61,False,119.4,1.72
29,Rajasthan,31842478,13849.83,4349.0,3702.0,-647.0,-2060.21,False,117.5,6.94
30,Sikkim,86297,48.12,5576.0,3702.0,-1874.0,-16.17,False,150.6,0.02
31,Tamil Nadu,12207315,3417.87,2800.0,3702.0,902.0,1101.1,True,75.6,2.66
32,Telangana,10464845,3027.25,2893.0,3702.0,809.0,846.61,True,78.2,2.28
33,Tripura,895144,426.43,4764.0,3702.0,-1062.0,-95.06,False,128.7,0.2
34,Uttar Pradesh,81132615,33488.9,4128.0,3702.0,-426.0,-3456.25,False,111.5,17.68
35,Uttarakhand,2963899,1650.37,5568.0,3702.0,-1866.0,-553.06,False,150.4,0.65
36,West Bengal,45453885,16408.24,3610.0,3702.0,92.0,418.18,True,97.5,9.9
