s.no,state,accounts,deposit_crore,deposit_per_account_rs,national_avg_rs,gap_vs_national_avg_rs,gap_crore,below_national_avg,pct_of_national_avg,account_share_pct
20,Madhya Pradesh,37755462,9737.28,2579.0,3702.0,1123.0,4239.94,True,69.7,8.23
4,Assam,20745021,5405.1,2605.0,3702.0,1097.0,2275.73,True,70.4,4.52
5,Bihar,51872913,18048.59,3479.0,3702.0,223.0,1156.77,True,94.0,11.3
31,Tamil Nadu,12207315,3417.87,2800.0,3702.0,902.0,1101.1,True,75.6,2.66
7,Chhattisgarh,16140135,5042.45,3124.0,3702.0,578.0,932.9,True,84.4,3.52
32,Telangana,10464845,3027.25,2893.0,3702.0,809.0,846.61,True,78.2,2.28
21,Maharashtra,31638762,10938.9,3457.0,3702.0,245.0,775.15,True,93.4,6.89
36,West Bengal,45453885,16408.24,3610.0,3702.0,92.0,418.18,True,97.5,9.9
2,Andhra Pradesh,11793089,4005.69,3397.0,3702.0,305.0,359.69,True,91.8,2.57
22,Manipur,1033849,227.91,2204.0,3702.0,1498.0,154.87,True,59.5,0.23
15,Jharkhand,16433530,5959.27,3626.0,3702.0,76.0,124.89,True,98.0,3.58
25,Nagaland,349118,97.87,2803.0,3702.0,899.0,31.39,True,75.7,0.08
