date,volume_crore,value_crore,banks_live_on_upi,year,month,month_name,year_month,quarter,volume_mom_pct,value_mom_pct,volume_yoy_pct,value_yoy_pct,avg_ticket_size_rs,volume_3m_avg,volume_12m_avg,annualized_volume_bn,era
2019-11-01,121.88,189229.09,,2019,11,Nov,2019-11,4,,,,,1552.59,,,14.63,1_Post-Demonetization Growth
2019-12-01,130.84,202520.76,,2019,12,Dec,2019-12,4,7.35,7.02,,,1547.85,,,15.7,1_Post-Demonetization Growth
2020-01-01,130.5,216242.97,,2020,1,Jan,2020-01,1,-0.26,6.78,,,1657.03,127.74,,15.66,1_Post-Demonetization Growth
2020-02-01,132.57,222516.95,,2020,2,Feb,2020-02,1,1.59,2.9,,,1678.49,131.3,,15.91,1_Post-Demonetization Growth
2020-03-01,124.68,206462.31,,2020,3,Mar,2020-03,1,-5.95,-7.22,,,1655.94,129.25,,14.96,2_COVID Impact
2020-04-01,99.96,151140.66,,2020,4,Apr,2020-04,2,-19.83,-26.8,,,1512.01,119.07,,12.0,2_COVID Impact
2020-05-01,123.45,218391.6,,2020,5,May,2020-05,2,23.5,44.5,,,1769.07,116.03,,14.81,2_COVID Impact
2020-06-01,133.69,261835.0,,2020,6,Jun,2020-06,2,8.29,19.89,,,1958.52,119.03,,16.04,2_COVID Impact
2020-07-01,149.74,290537.86,,2020,7,Jul,2020-07,3,12.01,10.96,,,1940.28,135.63,,17.97,2_COVID Impact
2020-08-01,161.88,298307.61,,2020,8,Aug,2020-08,3,8.11,2.67,,,1842.77,148.44,,19.43,2_COVID Impact
2020-09-01,180.02,329031.84,,2020,9,Sep,2020-09,3,11.21,10.3,,,1827.75,163.88,,21.6,2_COVID Impact
2020-10-01,207.16,386106.74,,2020,10,Oct,2020-10,4,15.08,17.35,,,1863.81,183.02,141.36,24.86,2_COVID Impact
2020-11-01,221.02,390999.19,,2020,11,Nov,2020-11,4,6.69,1.27,81.34,106.63,1769.07,202.73,149.63,26.52,2_COVID Impact
